Brand,Date,Count
Beauty of Joseon,01-02-2021,0
Beauty of Joseon,01-03-2021,0
Beauty of Joseon,01-04-2021,1
Beauty of Joseon,01-05-2021,0
Beauty of Joseon,01-06-2021,1
Beauty of Joseon,01-07-2021,1
Beauty of Joseon,01-08-2021,1
Beauty of Joseon,01-09-2021,1
Beauty of Joseon,01-10-2021,0
Beauty of Joseon,01-11-2021,0
Beauty of Joseon,01-12-2021,1
Beauty of Joseon,01-01-2022,2
Beauty of Joseon,01-02-2022,2
Beauty of Joseon,01-03-2022,2
Beauty of Joseon,01-04-2022,5
Beauty of Joseon,01-05-2022,7
Beauty of Joseon,01-06-2022,7
Beauty of Joseon,01-07-2022,7
Beauty of Joseon,01-08-2022,12
Beauty of Joseon,01-09-2022,12
Beauty of Joseon,01-10-2022,10
Beauty of Joseon,01-11-2022,11
Beauty of Joseon,01-12-2022,13
Beauty of Joseon,01-01-2023,21
Beauty of Joseon,01-02-2023,25
Beauty of Joseon,01-03-2023,29
Beauty of Joseon,01-04-2023,29
Beauty of Joseon,01-05-2023,28
Beauty of Joseon,01-06-2023,29
Beauty of Joseon,01-07-2023,27
Beauty of Joseon,01-08-2023,27
Beauty of Joseon,01-09-2023,28
Beauty of Joseon,01-10-2023,37
Beauty of Joseon,01-11-2023,35
Beauty of Joseon,01-12-2023,33
Beauty of Joseon,01-01-2024,34
Beauty of Joseon,01-02-2024,44
Beauty of Joseon,01-03-2024,54
Beauty of Joseon,01-04-2024,57
Beauty of Joseon,01-05-2024,80
Beauty of Joseon,01-06-2024,51
Beauty of Joseon,01-07-2024,57
Beauty of Joseon,01-08-2024,49
Beauty of Joseon,01-09-2024,53
Beauty of Joseon,01-10-2024,50
Beauty of Joseon,01-11-2024,49
Beauty of Joseon,01-12-2024,58
Beauty of Joseon,01-01-2025,61
Beauty of Joseon,01-02-2025,73
Beauty of Joseon,01-03-2025,64
Beauty of Joseon,01-04-2025,74
Beauty of Joseon,01-05-2025,65
Beauty of Joseon,01-06-2025,56
Beauty of Joseon,01-07-2025,78
Beauty of Joseon,01-08-2025,58
Beauty of Joseon,01-09-2025,56
Beauty of Joseon,01-10-2025,63
Beauty of Joseon,01-11-2025,100
Beauty of Joseon,01-12-2025,88
Beauty of Joseon,01-01-2026,87
Beauty of Joseon,01-02-2026,82
