Brand,Date,Count
COSRX,01-02-2021,24
COSRX,01-03-2021,20
COSRX,01-04-2021,23
COSRX,01-05-2021,25
COSRX,01-06-2021,26
COSRX,01-07-2021,24
COSRX,01-08-2021,25
COSRX,01-09-2021,25
COSRX,01-10-2021,23
COSRX,01-11-2021,27
COSRX,01-12-2021,23
COSRX,01-01-2022,32
COSRX,01-02-2022,30
COSRX,01-03-2022,32
COSRX,01-04-2022,29
COSRX,01-05-2022,30
COSRX,01-06-2022,25
COSRX,01-07-2022,30
COSRX,01-08-2022,40
COSRX,01-09-2022,36
COSRX,01-10-2022,35
COSRX,01-11-2022,45
COSRX,01-12-2022,46
COSRX,01-01-2023,58
COSRX,01-02-2023,67
COSRX,01-03-2023,69
COSRX,01-04-2023,68
COSRX,01-05-2023,65
COSRX,01-06-2023,70
COSRX,01-07-2023,68
COSRX,01-08-2023,59
COSRX,01-09-2023,60
COSRX,01-10-2023,72
COSRX,01-11-2023,80
COSRX,01-12-2023,84
COSRX,01-01-2024,87
COSRX,01-02-2024,100
COSRX,01-03-2024,100
COSRX,01-04-2024,100
COSRX,01-05-2024,93
COSRX,01-06-2024,76
COSRX,01-07-2024,81
COSRX,01-08-2024,76
COSRX,01-09-2024,72
COSRX,01-10-2024,62
COSRX,01-11-2024,71
COSRX,01-12-2024,69
COSRX,01-01-2025,74
COSRX,01-02-2025,71
COSRX,01-03-2025,68
COSRX,01-04-2025,59
COSRX,01-05-2025,56
COSRX,01-06-2025,50
COSRX,01-07-2025,49
COSRX,01-08-2025,45
COSRX,01-09-2025,37
COSRX,01-10-2025,46
COSRX,01-11-2025,75
COSRX,01-12-2025,73
COSRX,01-01-2026,63
COSRX,01-02-2026,56
