Brand,Date,Count
Innisfree,01-02-2021,0
Innisfree,01-03-2021,0
Innisfree,01-04-2021,59
Innisfree,01-05-2021,0
Innisfree,01-06-2021,0
Innisfree,01-07-2021,71
Innisfree,01-08-2021,0
Innisfree,01-09-2021,0
Innisfree,01-10-2021,0
Innisfree,01-11-2021,0
Innisfree,01-12-2021,0
Innisfree,01-01-2022,0
Innisfree,01-02-2022,0
Innisfree,01-03-2022,0
Innisfree,01-04-2022,47
Innisfree,01-05-2022,62
Innisfree,01-06-2022,0
Innisfree,01-07-2022,56
Innisfree,01-08-2022,56
Innisfree,01-09-2022,47
Innisfree,01-10-2022,0
Innisfree,01-11-2022,41
Innisfree,01-12-2022,44
Innisfree,01-01-2023,44
Innisfree,01-02-2023,50
Innisfree,01-03-2023,38
Innisfree,01-04-2023,56
Innisfree,01-05-2023,35
Innisfree,01-06-2023,100
Innisfree,01-07-2023,100
Innisfree,01-08-2023,76
Innisfree,01-09-2023,79
Innisfree,01-10-2023,74
Innisfree,01-11-2023,53
Innisfree,01-12-2023,65
Innisfree,01-01-2024,62
Innisfree,01-02-2024,0
Innisfree,01-03-2024,62
Innisfree,01-04-2024,53
Innisfree,01-05-2024,0
Innisfree,01-06-2024,0
Innisfree,01-07-2024,0
Innisfree,01-08-2024,0
Innisfree,01-09-2024,0
Innisfree,01-10-2024,0
Innisfree,01-11-2024,0
Innisfree,01-12-2024,0
Innisfree,01-01-2025,0
Innisfree,01-02-2025,0
Innisfree,01-03-2025,0
Innisfree,01-04-2025,68
Innisfree,01-05-2025,0
Innisfree,01-06-2025,0
Innisfree,01-07-2025,0
Innisfree,01-08-2025,0
Innisfree,01-09-2025,0
Innisfree,01-10-2025,0
Innisfree,01-11-2025,0
Innisfree,01-12-2025,0
Innisfree,01-01-2026,3
Innisfree,01-02-2026,21
