Brand,Date,Count
Klairs,01-02-2021,98
Klairs,01-03-2021,96
Klairs,01-04-2021,98
Klairs,01-05-2021,100
Klairs,01-06-2021,94
Klairs,01-07-2021,83
Klairs,01-08-2021,75
Klairs,01-09-2021,68
Klairs,01-10-2021,68
Klairs,01-11-2021,68
Klairs,01-12-2021,65
Klairs,01-01-2022,77
Klairs,01-02-2022,69
Klairs,01-03-2022,73
Klairs,01-04-2022,65
Klairs,01-05-2022,60
Klairs,01-06-2022,49
Klairs,01-07-2022,48
Klairs,01-08-2022,48
Klairs,01-09-2022,49
Klairs,01-10-2022,51
Klairs,01-11-2022,50
Klairs,01-12-2022,47
Klairs,01-01-2023,54
Klairs,01-02-2023,59
Klairs,01-03-2023,57
Klairs,01-04-2023,54
Klairs,01-05-2023,52
Klairs,01-06-2023,50
Klairs,01-07-2023,46
Klairs,01-08-2023,46
Klairs,01-09-2023,48
Klairs,01-10-2023,50
Klairs,01-11-2023,49
Klairs,01-12-2023,60
Klairs,01-01-2024,53
Klairs,01-02-2024,64
Klairs,01-03-2024,69
Klairs,01-04-2024,61
Klairs,01-05-2024,59
Klairs,01-06-2024,48
Klairs,01-07-2024,53
Klairs,01-08-2024,48
Klairs,01-09-2024,38
Klairs,01-10-2024,37
Klairs,01-11-2024,38
Klairs,01-12-2024,37
Klairs,01-01-2025,41
Klairs,01-02-2025,37
Klairs,01-03-2025,41
Klairs,01-04-2025,35
Klairs,01-05-2025,32
Klairs,01-06-2025,31
Klairs,01-07-2025,38
Klairs,01-08-2025,35
Klairs,01-09-2025,22
Klairs,01-10-2025,30
Klairs,01-11-2025,50
Klairs,01-12-2025,41
Klairs,01-01-2026,36
Klairs,01-02-2026,31
