Brand,Date,Count
Laneige,01-02-2021,13
Laneige,01-03-2021,11
Laneige,01-04-2021,12
Laneige,01-05-2021,14
Laneige,01-06-2021,13
Laneige,01-07-2021,10
Laneige,01-08-2021,10
Laneige,01-09-2021,9
Laneige,01-10-2021,8
Laneige,01-11-2021,13
Laneige,01-12-2021,12
Laneige,01-01-2022,16
Laneige,01-02-2022,14
Laneige,01-03-2022,13
Laneige,01-04-2022,13
Laneige,01-05-2022,13
Laneige,01-06-2022,14
Laneige,01-07-2022,13
Laneige,01-08-2022,14
Laneige,01-09-2022,18
Laneige,01-10-2022,17
Laneige,01-11-2022,23
Laneige,01-12-2022,19
Laneige,01-01-2023,21
Laneige,01-02-2023,24
Laneige,01-03-2023,21
Laneige,01-04-2023,21
Laneige,01-05-2023,21
Laneige,01-06-2023,20
Laneige,01-07-2023,22
Laneige,01-08-2023,19
Laneige,01-09-2023,21
Laneige,01-10-2023,23
Laneige,01-11-2023,29
Laneige,01-12-2023,36
Laneige,01-01-2024,38
Laneige,01-02-2024,45
Laneige,01-03-2024,45
Laneige,01-04-2024,40
Laneige,01-05-2024,49
Laneige,01-06-2024,32
Laneige,01-07-2024,42
Laneige,01-08-2024,40
Laneige,01-09-2024,38
Laneige,01-10-2024,38
Laneige,01-11-2024,51
Laneige,01-12-2024,61
Laneige,01-01-2025,50
Laneige,01-02-2025,64
Laneige,01-03-2025,60
Laneige,01-04-2025,52
Laneige,01-05-2025,63
Laneige,01-06-2025,61
Laneige,01-07-2025,57
Laneige,01-08-2025,48
Laneige,01-09-2025,44
Laneige,01-10-2025,51
Laneige,01-11-2025,81
Laneige,01-12-2025,86
Laneige,01-01-2026,82
Laneige,01-02-2026,100
