Brand,Date,Count
Missha,01-02-2021,53
Missha,01-03-2021,48
Missha,01-04-2021,54
Missha,01-05-2021,51
Missha,01-06-2021,51
Missha,01-07-2021,59
Missha,01-08-2021,51
Missha,01-09-2021,37
Missha,01-10-2021,39
Missha,01-11-2021,38
Missha,01-12-2021,36
Missha,01-01-2022,56
Missha,01-02-2022,42
Missha,01-03-2022,47
Missha,01-04-2022,63
Missha,01-05-2022,53
Missha,01-06-2022,44
Missha,01-07-2022,41
Missha,01-08-2022,39
Missha,01-09-2022,37
Missha,01-10-2022,27
Missha,01-11-2022,40
Missha,01-12-2022,44
Missha,01-01-2023,38
Missha,01-02-2023,42
Missha,01-03-2023,50
Missha,01-04-2023,53
Missha,01-05-2023,40
Missha,01-06-2023,48
Missha,01-07-2023,41
Missha,01-08-2023,43
Missha,01-09-2023,47
Missha,01-10-2023,59
Missha,01-11-2023,44
Missha,01-12-2023,43
Missha,01-01-2024,47
Missha,01-02-2024,46
Missha,01-03-2024,52
Missha,01-04-2024,49
Missha,01-05-2024,30
Missha,01-06-2024,43
Missha,01-07-2024,74
Missha,01-08-2024,49
Missha,01-09-2024,35
Missha,01-10-2024,36
Missha,01-11-2024,51
Missha,01-12-2024,36
Missha,01-01-2025,42
Missha,01-02-2025,42
Missha,01-03-2025,50
Missha,01-04-2025,47
Missha,01-05-2025,46
Missha,01-06-2025,40
Missha,01-07-2025,36
Missha,01-08-2025,43
Missha,01-09-2025,33
Missha,01-10-2025,38
Missha,01-11-2025,100
Missha,01-12-2025,58
Missha,01-01-2026,48
Missha,01-02-2026,45
