Brand,Date,Count
Pyunkang Yul,01-02-2021,0
Pyunkang Yul,01-03-2021,19
Pyunkang Yul,01-04-2021,0
Pyunkang Yul,01-05-2021,0
Pyunkang Yul,01-06-2021,0
Pyunkang Yul,01-07-2021,20
Pyunkang Yul,01-08-2021,0
Pyunkang Yul,01-09-2021,30
Pyunkang Yul,01-10-2021,0
Pyunkang Yul,01-11-2021,0
Pyunkang Yul,01-12-2021,0
Pyunkang Yul,01-01-2022,0
Pyunkang Yul,01-02-2022,19
Pyunkang Yul,01-03-2022,14
Pyunkang Yul,01-04-2022,0
Pyunkang Yul,01-05-2022,15
Pyunkang Yul,01-06-2022,0
Pyunkang Yul,01-07-2022,0
Pyunkang Yul,01-08-2022,16
Pyunkang Yul,01-09-2022,27
Pyunkang Yul,01-10-2022,22
Pyunkang Yul,01-11-2022,0
Pyunkang Yul,01-12-2022,22
Pyunkang Yul,01-01-2023,24
Pyunkang Yul,01-02-2023,24
Pyunkang Yul,01-03-2023,30
Pyunkang Yul,01-04-2023,33
Pyunkang Yul,01-05-2023,20
Pyunkang Yul,01-06-2023,29
Pyunkang Yul,01-07-2023,21
Pyunkang Yul,01-08-2023,20
Pyunkang Yul,01-09-2023,22
Pyunkang Yul,01-10-2023,21
Pyunkang Yul,01-11-2023,37
Pyunkang Yul,01-12-2023,28
Pyunkang Yul,01-01-2024,23
Pyunkang Yul,01-02-2024,28
Pyunkang Yul,01-03-2024,28
Pyunkang Yul,01-04-2024,42
Pyunkang Yul,01-05-2024,23
Pyunkang Yul,01-06-2024,49
Pyunkang Yul,01-07-2024,32
Pyunkang Yul,01-08-2024,32
Pyunkang Yul,01-09-2024,28
Pyunkang Yul,01-10-2024,0
Pyunkang Yul,01-11-2024,29
Pyunkang Yul,01-12-2024,42
Pyunkang Yul,01-01-2025,24
Pyunkang Yul,01-02-2025,27
Pyunkang Yul,01-03-2025,26
Pyunkang Yul,01-04-2025,20
Pyunkang Yul,01-05-2025,36
Pyunkang Yul,01-06-2025,36
Pyunkang Yul,01-07-2025,34
Pyunkang Yul,01-08-2025,30
Pyunkang Yul,01-09-2025,36
Pyunkang Yul,01-10-2025,40
Pyunkang Yul,01-11-2025,100
Pyunkang Yul,01-12-2025,52
Pyunkang Yul,01-01-2026,87
Pyunkang Yul,01-02-2026,58
