Brand,Date,Count
The Face Shop,01-02-2021,77
The Face Shop,01-03-2021,66
The Face Shop,01-04-2021,75
The Face Shop,01-05-2021,75
The Face Shop,01-06-2021,65
The Face Shop,01-07-2021,65
The Face Shop,01-08-2021,56
The Face Shop,01-09-2021,48
The Face Shop,01-10-2021,47
The Face Shop,01-11-2021,54
The Face Shop,01-12-2021,49
The Face Shop,01-01-2022,72
The Face Shop,01-02-2022,65
The Face Shop,01-03-2022,72
The Face Shop,01-04-2022,55
The Face Shop,01-05-2022,49
The Face Shop,01-06-2022,58
The Face Shop,01-07-2022,58
The Face Shop,01-08-2022,51
The Face Shop,01-09-2022,42
The Face Shop,01-10-2022,48
The Face Shop,01-11-2022,46
The Face Shop,01-12-2022,43
The Face Shop,01-01-2023,48
The Face Shop,01-02-2023,51
The Face Shop,01-03-2023,50
The Face Shop,01-04-2023,44
The Face Shop,01-05-2023,51
The Face Shop,01-06-2023,41
The Face Shop,01-07-2023,45
The Face Shop,01-08-2023,43
The Face Shop,01-09-2023,40
The Face Shop,01-10-2023,44
The Face Shop,01-11-2023,53
The Face Shop,01-12-2023,49
The Face Shop,01-01-2024,57
The Face Shop,01-02-2024,69
The Face Shop,01-03-2024,64
The Face Shop,01-04-2024,61
The Face Shop,01-05-2024,55
The Face Shop,01-06-2024,58
The Face Shop,01-07-2024,57
The Face Shop,01-08-2024,60
The Face Shop,01-09-2024,53
The Face Shop,01-10-2024,56
The Face Shop,01-11-2024,65
The Face Shop,01-12-2024,57
The Face Shop,01-01-2025,59
The Face Shop,01-02-2025,52
The Face Shop,01-03-2025,65
The Face Shop,01-04-2025,57
The Face Shop,01-05-2025,57
The Face Shop,01-06-2025,56
The Face Shop,01-07-2025,54
The Face Shop,01-08-2025,52
The Face Shop,01-09-2025,81
The Face Shop,01-10-2025,59
The Face Shop,01-11-2025,100
The Face Shop,01-12-2025,95
The Face Shop,01-01-2026,72
The Face Shop,01-02-2026,68
